	add	sub	mul	div	sqrt	square	cube	ln	exp	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	const	const/expr
86	0.015	0.785	0.94	0.94	0.015	0.02	0.03	0.015	0.98	0.005	0.005	0.735	0.82	0.005	0.005	0.01	0.005	0.005	0.015	0.015	0.0	0.01	0.755	0.01	0.01	0.015	0.005	0.015	0.01	0.015	0.01	0.01	0.0	0.02	0.785	0.005	0.015	0.015	0.01	0.02	0.0	0.01	0.005	0.015	0.94	1.725
87	0.025	0.835	0.935	0.93	0.01	0.005	0.025	0.04	0.985	0.01	0.0	0.81	0.78	0.01	0.02	0.01	0.015	0.01	0.02	0.015	0.01	0.005	0.775	0.01	0.01	0.005	0.0	0.005	0.015	0.01	0.005	0.02	0.01	0.01	0.775	0.0	0.01	0.0	0.015	0.005	0.01	0.005	0.005	0.01	0.935	1.685
88	0.0	0.795	0.94	0.95	0.015	0.02	0.03	0.025	0.985	0.01	0.005	0.78	0.795	0.005	0.0	0.01	0.005	0.01	0.025	0.015	0.005	0.02	0.77	0.005	0.01	0.01	0.015	0.0	0.005	0.015	0.01	0.02	0.005	0.005	0.785	0.015	0.01	0.01	0.0	0.0	0.005	0.01	0.005	0.005	0.94	1.71
89	0.005	0.825	0.905	0.915	0.03	0.03	0.015	0.03	0.985	0.0	0.005	0.775	0.755	0.01	0.01	0.0	0.005	0.015	0.01	0.01	0.005	0.015	0.77	0.01	0.005	0.005	0.005	0.015	0.0	0.02	0.015	0.005	0.01	0.02	0.74	0.0	0.005	0.025	0.005	0.005	0.015	0.005	0.01	0.015	0.915	1.655
90	0.02	0.84	0.92	0.94	0.02	0.02	0.01	0.025	0.995	0.01	0.0	0.82	0.775	0.005	0.01	0.005	0.015	0.005	0.005	0.005	0.005	0.0	0.775	0.015	0.01	0.025	0.005	0.02	0.0	0.005	0.02	0.0	0.015	0.005	0.77	0.005	0.01	0.015	0.005	0.005	0.0	0.01	0.005	0.01	0.94	1.755
91	0.03	0.805	0.935	0.95	0.015	0.0	0.005	0.01	0.985	0.01	0.01	0.76	0.81	0.005	0.0	0.01	0.02	0.0	0.01	0.01	0.005	0.015	0.77	0.005	0.005	0.005	0.015	0.0	0.005	0.005	0.005	0.0	0.0	0.015	0.8	0.005	0.0	0.015	0.01	0.0	0.01	0.005	0.015	0.005	0.955	1.78
92	0.025	0.8	0.885	0.895	0.03	0.04	0.01	0.035	0.975	0.015	0.02	0.775	0.755	0.01	0.005	0.005	0.01	0.005	0.01	0.01	0.01	0.01	0.77	0.01	0.005	0.0	0.01	0.02	0.015	0.005	0.01	0.005	0.005	0.015	0.765	0.0	0.015	0.005	0.02	0.0	0.01	0.01	0.005	0.0	0.88	1.64
93	0.025	0.785	0.93	0.94	0.015	0.01	0.02	0.03	0.995	0.0	0.005	0.745	0.775	0.0	0.0	0.0	0.01	0.005	0.005	0.01	0.0	0.01	0.78	0.01	0.0	0.005	0.005	0.01	0.005	0.005	0.015	0.01	0.01	0.005	0.815	0.005	0.01	0.01	0.005	0.005	0.01	0.005	0.02	0.03	0.945	1.73
94	0.02	0.805	0.915	0.92	0.015	0.02	0.01	0.015	0.985	0.01	0.005	0.755	0.77	0.015	0.015	0.015	0.005	0.005	0.01	0.01	0.01	0.015	0.775	0.005	0.0	0.015	0.005	0.005	0.005	0.01	0.005	0.015	0.015	0.015	0.795	0.005	0.015	0.02	0.005	0.005	0.0	0.005	0.0	0.005	0.935	1.71
95	0.02	0.77	0.925	0.93	0.025	0.03	0.01	0.015	0.97	0.01	0.0	0.72	0.785	0.015	0.015	0.005	0.005	0.015	0.005	0.01	0.04	0.005	0.73	0.005	0.0	0.025	0.01	0.015	0.01	0.005	0.01	0.005	0.01	0.015	0.745	0.005	0.015	0.01	0.02	0.015	0.0	0.015	0.005	0.005	0.94	1.66
96	0.03	0.775	0.925	0.935	0.015	0.0	0.01	0.01	0.995	0.005	0.005	0.76	0.805	0.005	0.005	0.005	0.005	0.01	0.0	0.0	0.01	0.005	0.765	0.005	0.01	0.025	0.015	0.005	0.015	0.005	0.01	0.005	0.015	0.005	0.78	0.0	0.015	0.005	0.005	0.01	0.0	0.015	0.01	0.005	0.935	1.68
97	0.025	0.78	0.935	0.945	0.06	0.025	0.015	0.005	0.99	0.01	0.01	0.75	0.785	0.005	0.02	0.0	0.015	0.01	0.005	0.005	0.0	0.015	0.745	0.015	0.01	0.01	0.025	0.01	0.015	0.01	0.01	0.01	0.01	0.025	0.78	0.01	0.0	0.005	0.005	0.01	0.01	0.005	0.01	0.005	0.945	1.71
98	0.02	0.76	0.915	0.915	0.025	0.015	0.03	0.02	0.98	0.0	0.015	0.755	0.765	0.025	0.005	0.005	0.005	0.005	0.01	0.01	0.02	0.005	0.74	0.015	0.01	0.005	0.0	0.0	0.005	0.01	0.01	0.025	0.005	0.01	0.8	0.005	0.01	0.005	0.01	0.0	0.005	0.005	0.0	0.0	0.93	1.72
99	0.045	0.78	0.935	0.95	0.02	0.005	0.015	0.02	0.975	0.01	0.03	0.745	0.795	0.06	0.0	0.0	0.01	0.025	0.01	0.015	0.015	0.005	0.745	0.005	0.005	0.015	0.005	0.01	0.02	0.0	0.015	0.01	0.0	0.005	0.815	0.0	0.005	0.015	0.025	0.0	0.01	0.005	0.015	0.0	0.945	1.755
100	0.02	0.76	0.93	0.915	0.025	0.02	0.02	0.04	0.985	0.005	0.01	0.71	0.81	0.005	0.0	0.005	0.01	0.015	0.01	0.01	0.015	0.0	0.755	0.0	0.02	0.01	0.02	0.015	0.015	0.005	0.005	0.005	0.005	0.015	0.82	0.005	0.015	0.01	0.01	0.02	0.005	0.0	0.015	0.01	0.925	1.73
