	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	nonstereo_aromatic_smiles	zinc_id	QED	SA_score
407689	452.1172706	0.333333333	30	427.76	181.5833038	12.73745588	0.451990245	12.73745588	0.338176685	0.005519476	0.338176685	-3.851379438	-0.451990245	114.841	452.96	1	7	0	0	0	2	0	2	5	1	9	0	9	0	0	0	162	2	92.78	3.405	CCN(CC)S(=O)(=O)c1cc(ccc1Cl)C(=O)OCC(=O)NC(C)c2ccccc2	ZINC000003331199	0.58836116	2.524241269
30504	248.1637113	0.692307692	18	228.17	106.8247052	12.08789257	0.309826781	12.08789257	0.253305745	0.109163832	0.253305745	0.109163832	-0.309826781	69.3317	248.33	1	5	0	2	2	0	1	1	5	1	5	0	2	0	1	1	98	3	50.16	0.332	c1c(nc2n(c1=O)CCCNC2)CN3CCCC3	ZINC000096068101	0.819378266	2.600384366
453330	432.171893	0.409090909	30	404.318	177.5911716	13.11574037	0.496622025	13.11574037	0.255575309	0.140598065	0.255575309	-3.640726201	-0.496622025	115.905	432.542	1	7	0	1	1	2	0	2	5	1	8	0	6	0	1	1	162	3	84.94	3.829	Cc1ccc(cc1C(=O)Nc2ccc(cc2OC)OC)S(=O)(=O)N3CCCCCC3	ZINC000020061610	0.74990924	1.993618538
429080	483.2456671	0.310344828	35	450.421	212.7966341	5.815549845	0.303935228	5.815549845	0.198588405	0.276381369	0.198588405	0.276381369	-0.303935228	143.846	483.685	0	5	0	1	1	3	1	4	6	0	6	0	8	0	1	1	180	5	29.23	5.389	CCn1c(nn(c1=S)CN2CCN(CC2)C(c3ccccc3)c4ccccc4)Cc5ccccc5	ZINC000022918436	0.314392414	2.420809507
323937	374.1954053	0.684210526	27	348.233	157.7680243	12.94766203	0.458762281	12.94766203	0.326116597	0.010893562	0.326116597	-0.846659103	-0.458762281	95.6027	374.441	1	8	2	1	3	0	1	1	6	1	8	0	4	2	1	3	146	4	93.53	2.021	CC1CCCCC12C(=O)N(C(=O)N2)CC(=O)OC3CCCC3n4cccn4	ZINC000065567042	0.642784398	4.328098989
248254	353.2103271	0.476190476	26	326.25	154.3389299	12.47153476	0.342924239	12.47153476	0.223897559	0.048521878	0.223897559	0.048521878	-0.342924239	104.0587	353.466	1	5	0	1	1	1	1	2	3	1	5	0	4	0	1	1	138	3	62.3	3.829	Cc1cc(c2cccnc2c1C)NC(=O)CCC3CCN(CC3)C(=O)C	ZINC000173123494	0.908531946	2.264398088
175279	368.2212261	0.523809524	27	340.257	160.1479691	10.35336673	0.390119151	10.35336673	0.222364749	0.309061843	0.222364749	-0.313235391	-0.390119151	104.2355	368.481	2	6	0	2	2	1	1	2	6	2	6	0	5	0	2	2	144	4	70.51	2.595	c1ccc(cc1)CNc2ncc(cn2)CN3CCC4(CC3)C(CCCO4)O	ZINC000095386285	0.845374924	3.503656719
889839	486.1936911	0.375	34	456.354	203.5205408	12.90566347	0.495991207	12.90566347	0.232592755	0.049691962	0.232592755	-0.049691962	-0.495991207	130.98	486.594	0	9	0	0	0	2	1	3	9	0	10	0	11	0	0	0	182	3	87.94	3.75	CCn1c(nnc1SCC(=O)N(C)Cc2ccc(c(c2OC)OC)OC)c3ccccc3OC	ZINC000012777630	0.378862362	2.40778757
576404	331.14514	0.388888889	23	309.671	141.3858477	12.25703593	0.355772482	12.25703593	0.267312993	0.115888369	0.267312993	-0.115888369	-0.355772482	92.7429	331.847	2	4	0	1	1	1	1	2	2	2	5	0	5	0	1	1	122	3	48.13	3.625	c1ccc(cc1)C(CNC(=O)c2cc(c[nH]2)Cl)N3CCCCC3	ZINC000426647310	0.878647498	2.604189572
511962	314.1266571	0.294117647	23	296.197	133.619426	12.09105955	0.496767806	12.09105955	0.263856273	0.163131666	0.263856273	-0.579904914	-0.496767806	84.4427	314.341	1	6	0	1	1	1	1	2	5	1	6	0	6	0	0	0	120	3	73.06	2.14	COc1ccc(cc1)C2=NOC(C2)C(=O)NCCc3ccco3	ZINC000675029571	0.886367562	2.69765731
335235	354.1135055	0.4	25	335.685	150.8966449	11.23688922	0.377630191	11.23688922	0.269362864	0.183292706	0.269362864	-0.289041189	-0.377630191	97.9741	354.837	1	4	2	1	3	2	0	2	3	1	5	0	2	2	0	2	128	5	55.17	5.545	c1ccc(c(c1)C2C3C4CCC(C4)C3c5cc(ccc5N2)[N+](=O)[O-])Cl	ZINC000004845649	0.568249845	4.349342012
445248	353.1521606	0.733333333	24	330.264	144.7182201	12.361152	0.378894383	12.361152	0.241485451	0.031493318	0.241485451	-0.184891366	-0.378894383	89.8717	353.448	1	8	0	2	2	0	1	1	7	1	9	0	3	0	2	2	132	3	87.66	0.12	CC(=O)NCC(=O)N1CCCC2(C1)CN(CCOC2)c3nncs3	ZINC000096076809	0.830454743	3.865301822
710383	362.1412616	0.470588235	25	340.279	150.3210465	12.44335629	0.471773965	12.44335629	0.254046441	0.123945473	0.254046441	-0.136539154	-0.471773965	94.2772	362.455	1	7	0	1	1	0	2	2	6	1	8	0	6	0	1	1	134	3	80.37	1.774	Cn1ccnc1SCC(=O)N2CCCC(C2)CNC(=O)c3ccoc3	ZINC000952860248	0.792445509	2.932073538
292836	262.0953569	0.384615385	19	248.153	109.8341661	11.83710081	0.453593031	11.83710081	0.243498012	0.042441369	0.243498012	-0.199893235	-0.453593031	67.0087	262.265	1	6	0	2	2	1	0	1	4	1	6	0	3	0	1	1	100	3	67.87	0.976	c1cc2c(cc1NC(=O)CN3CCCC3=O)OCO2	ZINC000007912801	0.8812047	1.991664608
201560	344.1524779	0.090909091	26	324.254	152.6381	12.47046092	0.344769159	12.47046092	0.255158699	0.103413888	0.255158699	-0.20920026	-0.344769159	104.2907	344.414	1	4	0	0	0	3	0	3	2	1	4	0	4	0	0	0	130	3	49.41	4.308	CN(C)C(=O)c1cccc(c1)NC(=O)c2ccc(cc2)c3ccccc3	ZINC000013626565	0.766670261	1.619625124
71549	452.1682253	0.291666667	32	427.355	191.5720981	13.48266178	0.464666354	13.48266178	0.325131759	0.035604578	0.325131759	-0.337348986	-0.464666354	123.9927	452.555	1	6	0	1	1	1	2	3	5	1	8	0	6	0	1	1	166	4	59.39	4.164	CCOC(=O)CN1C(C(NC1=S)c2ccccn2)c3cc(n(c3C)c4ccc(cc4)F)C	ZINC000223652022	0.447683423	3.56171271
123366	364.206325	0.454545455	27	339.268	158.5775352	13.70868458	0.355950432	13.70868458	0.157752852	0.234362472	0.157752852	-0.234362472	-0.355950432	105.634	364.468	0	4	1	1	2	1	2	3	4	0	5	0	2	0	1	1	140	5	33.43	4.651	CC1CCCN(C1)c2c3c(nc4n2nc(c4)c5cccc(c5)F)CCCC3	ZINC000004980697	0.663569112	3.001840912
329615	372.1716891	0.5	26	347.7	159.0828874	12.82922602	0.338211216	12.82922602	0.256567577	0.082798354	0.256567577	0.082798354	-0.338211216	102.8755	372.9	0	5	0	2	2	1	1	2	4	0	6	0	4	0	2	2	138	4	41.37	3.474	c1cc(cc(c1)Cl)n2cc(cn2)C(=O)N3CCC(C3)CN4CCCCC4	ZINC000174562107	0.824685379	2.693648552
398282	466.1926284	0.269230769	33	436.363	195.600696	12.79728611	0.480322953	12.79728611	0.264927938	0.111187207	0.264927938	-3.755764004	-0.480322953	132.4192	466.603	2	6	0	0	0	3	0	3	4	2	7	0	8	0	0	0	174	3	84.5	5.517	CCC(C(=O)Nc1ccc(cc1)S(=O)(=O)Nc2cc(ccc2C)C)Oc3cccc(c3C)C	ZINC000044901231	0.457953712	2.607488495
472594	444.171893	0.434782609	31	416.329	183.0248766	13.1233561	0.496753179	13.1233561	0.241015448	0.0037063	0.241015448	-3.220955758	-0.496753179	119.7178	444.553	0	7	0	2	2	2	0	2	6	0	8	0	6	0	2	2	166	4	76.15	2.069	Cc1ccc(cc1)N2C3CS(=O)(=O)CC3N(CC2=O)CCc4cc(ccc4OC)OC	ZINC000057747642	0.679069612	3.22696178
174973	392.9960326	0.266666667	24	382.085	144.7165269	12.77128307	0.464464656	12.77128307	0.354678754	0.242086286	0.354678754	-1.163813303	-0.464464656	85.884	394.181	0	8	0	2	2	1	0	1	6	0	9	0	2	0	1	1	124	3	96.35	0.698	CC(=O)N1C2C(C(=N1)C(=O)OC)C(=O)N(C2=O)c3cccc(c3)Br	ZINC000100170998	0.543639662	3.326365666
486645	440.0597557	0.181818182	30	423.772	181.6910519	13.47518461	0.496687374	13.47518461	0.266088447	0.284151305	0.266088447	-0.896778628	-0.496687374	114.841	440.908	0	6	0	2	2	2	1	3	6	0	8	0	4	0	2	2	152	5	59.08	4.461	COc1cccc(c1)N2C(=O)C3C(N(OC3C2=O)c4ccc(cc4)Cl)c5cccs5	ZINC000100642050	0.560396403	3.338433663
739792	535.2116953	0.576923077	36	501.224	222.6107073	13.30366113	0.493001565	13.30366113	0.275411979	0.15642201	0.275411979	-0.358914987	-0.493001565	140.7395	536.504	0	8	0	2	2	1	1	2	6	0	10	0	8	0	2	2	196	4	70.91	4.065	CCCn1cc(c(n1)C(=O)N2CCC(CC2)(CC(=O)N3CCN(CC3)C)COc4ccc(cc4)Cl)Cl	ZINC000257284177	0.509110348	2.789607788
359414	542.1511576	0.166666667	39	516.405	227.9253464	13.98276723	0.507944267	13.98276723	0.338223783	0.08933362	0.338223783	-0.910294207	-0.507944267	148.7138	542.613	1	8	0	1	1	3	1	4	9	1	9	0	7	0	0	0	198	5	99.35	3.658	CCOC(=O)C1=C(N=c2n(c(=O)c(=Cc3cccc(c3)O)s2)C1c4cccc(c4OC)OC)c5ccccc5	ZINC000002949095	0.358112779	3.096523791
106487	442.2117241	0.28	33	416.315	191.0302028	12.84282448	0.309107794	12.84282448	0.26115718	0.105072958	0.26115718	-0.279472463	-0.309107794	126.9697	442.523	1	8	0	1	1	2	2	4	7	1	8	0	6	0	1	1	168	5	85.05	2.987	Cc1cnn(c1NC(=O)Cn2cnc3ccccc3c2=O)C4CCN(C4)Cc5ccccc5	ZINC000089702558	0.496274424	2.884841712
66504	487.210721	0.321428571	36	458.324	207.6666807	13.83311569	0.492841311	13.83311569	0.267056024	0.158104203	0.267056024	-0.654179568	-0.492841311	140.8247	487.556	1	8	0	0	0	2	3	5	7	1	8	0	8	0	0	0	186	5	91.16	4.539	CC(C)CCNC(=O)C(C)Oc1ccc2c(c1)c3ccnc4c3n2c(=O)c5c4ccc(c5OC)OC	ZINC000008792259	0.32332344	3.155179906
